1,the date is 10/21/2016,,,,,,
1,the time is 9:00 AM,,,,,,
5,Mr. Magoo is a popular cartoon character from the 1940s.,,,,,,
5,He is known for being comically near-sighted.,,,,,,
5,Mr. Magoo was voiced by Bobby Backus.,,,,,,
5,Jim's party is at 4 pm today.,,,,,,
5,"Actually, Jim's party is at 5 pm.",,,,,,
5,Tina wants a dog and a cat.,,,,,,
5,"Actually, Tina only wants a cat.",,,,,,
4,Aubrey White wears white dresses.,,,,,,
4,Aubrey White is female.,,,,,,
5,Aubrey Black wears black ties.,,,,,,
5,Aubrey Black is male.,,,,,,
4,Pat White is male.,,,,,,
4,Mr. White wears white ties.,,,,,,
5,Pat Black is a woman.,,,,,,
5,Mrs. Black wears black dresses.,,,,,,
5,Taylor Keegan is a great actress.,,,,,,
5,Taylor Monegan is a waiter.,,,,,,
5,Dr. Kendrick Marmion Murphy Jr. is very tall. ,,,,,,
5,"The North American Society for Marine Mammal Research, an organization in Boston, is giving a presentation.",,,,,,
5,Carl's last name is Weathers.,,,,,,
5,Carl's middle name is Austin.,,,,,,
5,Robin and Jasmine are a team.,,,,,,
5,Every car is red.,,,,,,
5,Cindy eats apples so the doctor stays away.,,,,,,
5,Carla was eating pie.,,,,,,
5,Carla is copying the reports.,,,,,,
5,"Carla will email her client, Jenny.",,,,,,
5,Raquel sang to Martha a song.,,,,,,
5,"Julius will, in a few minutes, bring the cake.",,,,,,
5,"I will, when I get home, feed the dog.",,,,,,
5,Carla gave the materials to Wilma said Zachary.,,,,,,
5,an object was updated by an actor is the same as the actor updated the object.,,,,,,
5,The contact numbers that Carla gave to Miranda were actually updated by Erina.,,,,,,
5,Selena looked over the tax plan so that she could prepare to answer Miriam's questions.,,,,,,
5,Kayla knew the pamphlet would cover all the talking points her staff was looking for.,,,,,,
5,Carla asked Miranda to clarify the question about the quarterly revenue made by her company before taxes.,,,,,,
5,Carla sent her boss the blueprints.,,,,,,
5,Kayla brewed Terrence another batch of coffee.,,,,,,
5,Kayla gave Mike twenty dollars.,,,,,,
5,Currency is money.,,,,,,
5,Sally is a girl.,,,,,,
5,Panz's birthday is 11/20/2016.,,,,,,
5,Anthony's ceremony is 3 days after her birthday.,,,,,,
5,"Bill's favorite wine is Etna Rosso, and he doesn't like white wine.",,,,,,
5,James just bought a 20 ft plane.,,,,,,
5,It has the 250 hp Evinrude engine.,,,,,,
5,James sold his eighteen foot plane to his neighbor because it's too slow!,,,,,,
4,"The men rescued in this tale of three castaways were not named Tom Hanks, or Gilligan or Robinson Crusoe.",,,,,,
4,Though they might as well have been.,,,,,,
4,"In a scene straight from Hollywood, a U.S. Navy plane spotted the word ""help"" spelled out in palm fronds on a beach.",,,,,,
4,It was on a deserted island in the remote Pacific.,,,,,,
4,The three men had been missing for three days.,,,,,,
4,Two cargo ships searched a combined 17 hours for the men as part of AMVER.,,,,,,
4,It is a Coast Guard voluntary search and rescue program.,,,,,,
4,Viola will play with her horse at 3 PM at the park with Stan.,,,,,,
4,Suzie suggested that Phil run at 7 AM at 5.,,,,,,
4,Rufus climbed the mountain.,,,,,,
5,"If Jim receives pictures, then he will download them.",,,,,,
5,"If Logan's inbox is full, then he will not receive new emails.",,,,,,
5,"If Marcus is early, then he cleans the blackboards.",,,,,,
5,"If Simon proposes at the wedding, then Marie takes pictures.",,,,,,
5,"If you close the window, the window is closed.",,,,,,
5,this is from http://money.cnn.com/data/world_markets/americas/?iid=H_MKT_QL,,,,,,
5,Google bought DeepMind in 2014.,,,,,,
5,DeepMind's AI released AlphaGo last month.,,,,,,
5,this is from Jane.,,,,,,
5,Red unicorns were flying over a lake.,,,,,,
3,DefaultUser:: Murray is Stan's teacher.,,,,,,
3,Scott's brother Ralph lives in Florida.,,,,,,
3,Scott's brother Ethan lives in Texas.,,,,,,
3,Scott's brother from Florida is running for office.,,,,,,
3,Scott's wife is Nan.,,,,,,
3,Trevor has 2 sisters.,,,,,,
3,"Trevor's sister, Alisha, is happy.",,,,,,
3,"Trevor, Becky's brother, is nice.",,,,,,
3,"The father of Kenisha, Kenneth, is having a meltdown.",,,,,,
3,Ronald's new robot is so cool.,,,,,,
3,It is Ozmo.,,,,,,
3,The book about cats is big.,,,,,,
3,The book about cats is orange.,,,,,,
3,The book about dogs is small.,,,,,,
3,The book about dogs is brown.,,,,,,
3,Jane has the book about cats.,,,,,,
3,Mike has the book about dogs.,,,,,,
3,A large pot is hot.,,,,,,
3,A small pot is cold.,,,,,,
3,The hot pot has tea.,,,,,,
3,The cold pot doesn't have tea.,,,,,,
3,The nurse is very nice.,,,,,,
3,Krista is the nurse.,,,,,,
3,Harvey is the lawyer.,,,,,,
3,The lawyer made his case. ,,,,,,
3,rain falls directly from the sky.,,,,,,
3,Lily and Charlie's vase is pricey.,,,,,,
3,Uber will only pay for mid-size rental cars.,,,,,,
3,Any type of claim against Yahoo will not be taken lightly.,,,,,,
3,Children can touch any type of small mammals and Jon's reptiles.,,,,,,
3,Amazon will only give refunds for very specific types of defects.,,,,,,
3,Jill's dad is Dane.,,,,,,
3,Jill is not home.,,,,,,
